policy_id,customer_id,coverage_type,vehicle_age,annual_premium,accident_year
P500000,C100000,Comprehensive,13,1483.87,2021
P500001,C100001,Collision,4,1234.94,2021
P500002,C100002,Collision,6,1468.68,2022
P500003,C100003,Comprehensive,11,2230.0,2021
P500004,C100004,Liability,5,1094.09,2021
P500005,C100005,Liability,8,696.73,2022
P500006,C100006,Liability,24,1271.34,2021
P500007,C100007,Liability,5,867.6,2021
P500008,C100008,Liability,8,1081.24,2024
P500009,C100009,Collision,6,1271.3,2023
P500010,C100010,Collision,4,1204.19,2022
P500011,C100011,Liability,12,1103.44,2021
P500012,C100012,Liability,2,856.54,2023
P500013,C100013,Collision,3,1046.69,2023
P500014,C100014,Collision,6,1495.92,2022
P500015,C100015,Collision,2,863.93,2023
P500016,C100016,Liability,5,1310.16,2022
P500017,C100017,Comprehensive,3,1964.73,2023
P500018,C100018,Comprehensive,8,2043.69,2022
P500019,C100019,Liability,3,1085.14,2023
P500020,C100020,Collision,2,980.86,2021
P500021,C100021,Comprehensive,10,2128.95,2021
P500022,C100022,Collision,2,836.78,2023
P500023,C100023,Liability,2,956.93,2023
P500024,C100024,Liability,5,823.44,2024
P500025,C100025,Collision,7,1884.91,2021
P500026,C100026,Collision,3,975.5,2023
P500027,C100027,Comprehensive,8,1503.63,2022
P500028,C100028,Liability,4,1086.77,2021
P500029,C100029,Liability,5,1492.52,2021
P500030,C100030,Collision,2,1002.21,2023
P500031,C100031,Collision,12,1418.55,2023
P500032,C100032,Collision,8,1538.66,2024
P500033,C100033,Liability,4,880.23,2022
P500034,C100034,Collision,2,1558.17,2024
P500035,C100035,Comprehensive,13,1841.55,2021
P500036,C100036,Comprehensive,19,1970.67,2023
P500037,C100037,Comprehensive,3,1675.99,2021
P500038,C100038,Collision,15,1088.84,2023
P500039,C100039,Comprehensive,8,1915.92,2022
P500040,C100040,Collision,0,1537.92,2022
P500041,C100041,Liability,12,921.61,2023
P500042,C100042,Comprehensive,10,1731.87,2023
P500043,C100043,Liability,5,998.56,2021
P500044,C100044,Liability,8,1155.12,2023
P500045,C100045,Liability,9,1265.7,2023
P500046,C100046,Collision,13,1855.02,2024
P500047,C100047,Collision,14,1837.68,2024
P500048,C100048,Collision,4,1218.15,2021
P500049,C100049,Liability,3,863.53,2023
P500050,C100050,Liability,3,1438.34,2022
P500051,C100051,Liability,3,713.91,2022
P500052,C100052,Liability,4,1220.5,2023
P500053,C100053,Liability,4,897.97,2023
P500054,C100054,Liability,3,1034.23,2024
P500055,C100055,Comprehensive,5,2425.46,2022
P500056,C100056,Comprehensive,12,2403.52,2021
P500057,C100057,Collision,5,1360.46,2023
P500058,C100058,Collision,2,1629.13,2024
P500059,C100059,Comprehensive,3,1606.78,2023
P500060,C100060,Collision,16,1156.14,2022
P500061,C100061,Comprehensive,12,2125.12,2023
P500062,C100062,Comprehensive,3,1353.22,2023
P500063,C100063,Liability,14,1340.7,2023
P500064,C100064,Liability,9,1054.02,2024
P500065,C100065,Liability,15,1308.34,2024
P500066,C100066,Collision,1,1393.57,2022
P500067,C100067,Comprehensive,3,1510.42,2023
