customer_id,driver_age,region,tenure_years,prior_claims
C100000,47,Ottawa,0.2,0
C100001,56,Ottawa,7.5,2
C100002,44,Vancouver,1.1,0
C100003,42,Vancouver,6.1,1
C100004,59,Toronto,2.1,0
C100005,43,Halifax,1.2,0
C100006,50,Vancouver,6.1,0
C100007,48,Calgary,1.3,0
C100008,59,Toronto,2.2,0
C100009,39,Vancouver,11.8,0
C100010,68,Montreal,9.3,0
C100011,36,Montreal,0.1,0
C100012,52,Calgary,0.2,0
C100013,49,Ottawa,1.0,0
C100014,34,Montreal,13.5,0
C100015,53,Ottawa,7.2,0
C100016,40,Toronto,1.7,0
C100017,31,Vancouver,2.8,0
C100018,56,Toronto,6.4,0
C100019,27,Montreal,6.1,0
C100020,33,Halifax,0.7,0
C100021,44,Toronto,3.4,0
C100022,59,Halifax,2.7,0
C100023,55,Montreal,5.1,0
C100024,47,Calgary,2.3,0
C100025,25,Toronto,3.4,0
C100026,35,Calgary,12.5,0
C100027,38,Halifax,3.1,1
C100028,30,Vancouver,7.9,0
C100029,24,Montreal,6.9,0
C100030,45,Ottawa,0.3,0
C100031,55,Calgary,7.8,1
C100032,37,Toronto,7.3,0
C100033,59,Calgary,5.9,0
C100034,27,Calgary,12.6,2
C100035,30,Calgary,10.5,0
C100036,44,Montreal,7.9,0
C100037,36,Montreal,8.4,1
C100038,53,Halifax,0.5,0
C100039,50,Vancouver,19.2,1
C100040,36,Vancouver,3.3,1
C100041,27,Halifax,21.1,1
C100042,35,Toronto,26.9,0
C100043,50,Montreal,0.2,0
C100044,54,Calgary,0.4,1
C100045,36,Calgary,5.8,2
C100046,24,Halifax,6.4,1
C100047,26,Calgary,10.0,2
C100048,49,Montreal,10.9,0
C100049,36,Montreal,5.7,0
C100050,37,Toronto,1.8,1
C100051,30,Halifax,0.3,0
C100052,30,Toronto,1.1,0
C100053,58,Vancouver,8.0,0
C100054,50,Montreal,12.8,1
C100055,33,Toronto,3.7,0
C100056,43,Montreal,1.7,1
C100057,46,Vancouver,0.2,0
C100058,78,Toronto,2.7,0
C100059,29,Halifax,8.7,2
C100060,46,Halifax,0.2,0
C100061,58,Toronto,5.3,0
C100062,74,Ottawa,0.7,0
C100063,33,Montreal,2.8,0
C100064,36,Toronto,1.8,0
C100065,54,Montreal,1.0,0
C100066,25,Ottawa,2.1,1
C100067,47,Calgary,3.8,0
C100068,90,Toronto,0.4,1
C100069,49,Calgary,1.1,1
C100070,21,Calgary,1.4,1
C100071,31,Calgary,0.2,1
C100072,33,Vancouver,1.5,0
C100073,64,Ottawa,1.8,0
C100074,39,Calgary,2.0,1
C100075,24,Toronto,0.0,0
C100076,41,Ottawa,4.1,0
C100077,44,Montreal,4.6,0
C100078,35,Calgary,4.9,0
C100079,29,Calgary,1.9,0
C100080,90,Montreal,4.1,0
C100081,58,Toronto,3.7,0
C100082,60,Calgary,0.8,0
C100083,39,Ottawa,2.1,1
C100084,33,Ottawa,3.3,0
C100085,35,Vancouver,2.5,0
C100086,27,Toronto,3.0,1
C100087,78,Montreal,2.9,0
C100088,40,Calgary,2.2,0
C100089,70,Montreal,7.2,0
C100090,36,Calgary,5.0,1
C100091,49,Montreal,0.3,1
C100092,45,Toronto,2.4,0
C100093,26,Vancouver,3.1,0
C100094,82,Vancouver,16.5,0
C100095,36,Vancouver,3.9,1
C100096,28,Montreal,3.1,0
C100097,54,Ottawa,9.4,0
C100098,42,Vancouver,3.6,1
C100099,48,Ottawa,9.4,0
C100100,43,Vancouver,4.7,0
C100101,22,Montreal,3.0,0
C100102,31,Calgary,18.7,0
C100103,30,Vancouver,5.6,0
C100104,60,Vancouver,5.5,0
C100105,42,Calgary,0.3,0
C100106,51,Toronto,0.4,0
C100107,37,Halifax,22.1,0
C100108,52,Montreal,2.7,0
C100109,39,Toronto,0.7,0
C100110,38,Ottawa,1.0,1
C100111,45,Toronto,0.5,0
C100112,43,Halifax,12.4,3
C100113,90,Montreal,2.8,0
C100114,31,Montreal,0.7,0
C100115,25,Toronto,1.5,1
C100116,47,Toronto,2.2,0
C100117,32,Toronto,6.2,0
C100118,21,Toronto,5.1,0
C100119,28,Montreal,10.0,0
C100120,90,Montreal,0.7,0
C100121,30,Montreal,8.3,0
C100122,23,Toronto,3.7,2
C100123,90,Toronto,1.8,0
C100124,28,Toronto,1.3,1
C100125,90,Toronto,0.2,0
C100126,36,Montreal,2.8,0
C100127,82,Toronto,1.3,0
C100128,38,Montreal,2.7,0
C100129,50,Halifax,0.2,0
C100130,40,Montreal,4.9,0
C100131,38,Toronto,1.2,0
C100132,46,Calgary,1.0,1
C100133,50,Vancouver,2.8,0
C100134,44,Toronto,18.2,1
C100135,43,Ottawa,0.5,0
C100136,32,Calgary,3.6,0
C100137,40,Halifax,1.3,0
C100138,77,Halifax,0.1,1
C100139,31,Vancouver,2.7,1
C100140,46,Calgary,2.1,1
C100141,67,Montreal,2.4,0
C100142,50,Halifax,30.6,0
C100143,60,Vancouver,1.6,0
C100144,28,Montreal,0.7,0
C100145,46,Toronto,3.3,2
C100146,37,Vancouver,0.3,2
C100147,38,Vancouver,13.4,0
C100148,74,Ottawa,10.5,0
C100149,38,Toronto,2.9,1
C100150,47,Ottawa,4.1,0
C100151,23,Toronto,2.3,0
C100152,82,Vancouver,3.2,0
C100153,59,Montreal,4.4,0
C100154,41,Montreal,8.0,0
C100155,37,Montreal,3.1,0
C100156,53,Toronto,1.1,0
C100157,66,Toronto,0.5,0
C100158,83,Ottawa,1.6,0
C100159,58,Toronto,12.9,0
C100160,43,Calgary,6.8,0
C100161,62,Calgary,16.7,0
C100162,57,Toronto,6.5,1
C100163,43,Halifax,16.6,0
C100164,56,Ottawa,5.1,0
C100165,56,Ottawa,4.1,0
C100166,41,Ottawa,35.0,0
C100167,34,Vancouver,5.1,1
C100168,54,Halifax,8.5,0
C100169,29,Toronto,0.6,0
C100170,27,Toronto,3.7,0
C100171,47,Calgary,1.4,0
C100172,53,Montreal,2.0,1
C100173,47,Vancouver,2.9,0
C100174,49,Montreal,2.9,0
C100175,53,Montreal,7.4,0
C100176,75,Halifax,9.8,0
C100177,58,Toronto,2.4,0
C100178,58,Toronto,1.2,0
C100179,46,Calgary,10.5,0
C100180,46,Ottawa,3.9,0
C100181,40,Ottawa,20.6,1
C100182,49,Toronto,9.8,0
C100183,28,Halifax,2.4,0
C100184,75,Vancouver,12.7,0
C100185,31,Ottawa,10.2,0
C100186,58,Toronto,1.2,0
C100187,70,Montreal,0.4,0
C100188,58,Vancouver,3.4,0
C100189,90,Vancouver,9.4,0
C100190,22,Toronto,3.0,0
C100191,35,Vancouver,2.9,0
C100192,70,Calgary,1.2,1
C100193,27,Montreal,0.1,2
C100194,31,Vancouver,1.7,0
C100195,51,Montreal,18.7,1
C100196,43,Ottawa,1.2,0
C100197,50,Vancouver,1.7,0
C100198,44,Vancouver,7.3,0
C100199,46,Halifax,4.5,1
C100200,32,Calgary,1.5,0
C100201,45,Montreal,7.2,0
C100202,36,Calgary,5.9,0
C100203,38,Halifax,1.4,2
C100204,58,Toronto,8.6,0
C100205,26,Vancouver,2.1,0
C100206,20,Toronto,7.4,0
C100207,56,Ottawa,0.9,0
C100208,45,Calgary,2.4,1
C100209,70,Halifax,18.4,0
C100210,31,Calgary,8.0,0
C100211,40,Toronto,1.7,0
C100212,43,Vancouver,1.6,1
C100213,33,Halifax,7.4,1
C100214,30,Toronto,3.6,1
C100215,57,Toronto,0.1,0
C100216,26,Calgary,1.6,0
C100217,29,Vancouver,1.6,0
C100218,40,Toronto,1.4,0
C100219,60,Montreal,12.8,0
C100220,34,Montreal,8.2,0
C100221,33,Calgary,0.4,1
C100222,39,Montreal,5.0,1
C100223,48,Vancouver,12.2,1
C100224,37,Ottawa,1.8,1
C100225,64,Montreal,4.8,0
C100226,65,Calgary,26.6,0
C100227,40,Montreal,9.7,0
C100228,89,Montreal,0.4,0
C100229,43,Vancouver,1.8,0
C100230,64,Calgary,16.9,1
C100231,48,Halifax,8.8,0
